,,Carpet Area Prices(Rs.Per Sq.Ft.),,,
Faridabad,Dec-2015,"5,111","5,869","4,747","4,733"
Faridabad,Mar-2016,"5,018","5,707","4,730","4,617"
Faridabad,Jun-2016,"4,991","5,557","4,804","4,598"
Faridabad,Sep-2016,"5,192","5,722","5,091","4,727"
Faridabad,Dec-2016,"5,285","5,721","5,277","4,805"
Faridabad,Mar-2017,"5,406","5,675","5,530","4,941"
Faridabad,Jun-2017,"5,383","5,547","5,676","4,817"
Faridabad,Sep-2017,"4,959","4,929","5,174","4,713"
Faridabad,Dec-2017,"4,993","5,036","5,135","4,758"
Faridabad,Mar-2018,"5,050","5,180","5,110","4,825"
Faridabad,JUN-2018,"5,065","5,229","5,064","4,882"
Faridabad,SEP-2018,"5,182","5,428","5,155","4,939"
Faridabad,DEC 2018,"5,152","5,393","5,139","4,899"
Faridabad,Mar 2019,"5,090","5,196","5,099","4,960"
Faridabad,Jun 2019,"5,065","5,042","5,161","4,965"
Faridabad,Sep 2019,"5,062","4,939","5,198","5,022"
Faridabad,Dec 2019,"5,018","4,740","5,188","5,111"
Faridabad,Mar 2020,"5,001","4,718","5,210","5,047"
Faridabad,Jun 2020,"4,925","4,728","5,009","5,038"
Faridabad,Sep 2020,"4,924","4,770","5,002","4,995"
Faridabad,Dec 2020,"4,978","4,910","5,014","5,010"
Faridabad,Mar 2021,"5,107","4,910","5,190","5,222"
Faridabad,Jun 2021,"5,130","4,909","5,215","5,267"
Faridabad,Sep 2021,"5,157","4,907","5,234","5,337"
Faridabad,Dec 2021,"5,243","4,891","5,320","5,539"
Faridabad,Mar 2022,"5,375","4,881","5,510","5,755"
Faridabad,Jun 2022,"5,503","4,915","5,670","5,947"
Faridabad,Sep 2022,"5,658","4,915","5,894","6,187"
Faridabad,Dec 2022,"5,721","4,949","5,917","6,336"
Faridabad,Mar 2023,"5,699","5,007","5,839","6,297"
Faridabad,Jun 2023,"5,777","5,056","5,831","6,520"
Faridabad,Sep 2023,"5,913","5,166","5,893","6,781"
Faridabad,Dec 2023,"6,160","5,377","6,250","6,924"
Faridabad,Mar 2024,"6,498","5,677","6,553","7,351"
Faridabad,Jun 2024,"6,626","5,924","6,711","7,307"
Faridabad,Sep 2024,"6,832","6,224","6,885","7,447"
Gurugram,Jun-2013,"8,052","10,366","7,156","7,181"
Gurugram,Sep-2013,"8,148","10,571","7,165","7,256"
Gurugram,Dec-2013,"8,202","10,842","7,148","7,224"
Gurugram,Mar-2014,"8,161","10,569","7,101","7,312"
Gurugram,Jun-2014,"8,182","10,491","7,161","7,371"
Gurugram,Sep-2014,"8,368","10,864","7,343","7,455"
Gurugram,Dec-2014,"8,454","10,980","7,514","7,487"
Gurugram,Mar-2015,"8,396","10,365","7,797","7,580"
Gurugram,Jun-2015,"7,482","7,190","7,722","7,534"
Gurugram,Sep-2015,"7,143","5,619","7,941","7,621"
Gurugram,Dec-2015,"7,084","4,856","8,078","7,864"
Gurugram,Mar-2016,"7,162","4,773","8,248","7,989"
Gurugram,Jun-2016,"7,290","4,795","8,365","8,180"
Gurugram,Sep-2016,"7,462","4,804","8,479","8,467"
Gurugram,Dec-2016,"7,531","4,822","8,446","8,612"
Gurugram,Mar-2017,"7,620","4,800","8,428","8,811"
Gurugram,Jun-2017,"7,592","4,813","8,525","8,703"
Gurugram,Sep-2017,"7,461","4,901","8,374","8,460"
Gurugram,Dec-2017,"7,483","5,254","8,432","8,283"
Gurugram,Mar-2018,"7,362","5,229","8,309","8,109"
Gurugram,JUN-2018,"7,326","5,293","8,190","8,055"
Gurugram,SEP-2018,"7,367","5,360","8,238","8,080"
Gurugram,DEC 2018,"7,391","5,264","8,279","8,162"
Gurugram,Mar 2019,"7,474","5,247","8,312","8,322"
Gurugram,Jun 2019,"7,617","5,140","8,700","8,492"
Gurugram,Sep 2019,"7,594","4,923","8,811","8,517"
Gurugram,Dec 2019,"7,620","4,843","9,124","8,472"
Gurugram,Mar 2020,"7,684","4,820","9,433","8,471"
Gurugram,Jun 2020,"7,623","4,824","9,413","8,356"
Gurugram,Sep 2020,"7,622","4,822","9,386","8,367"
Gurugram,Dec 2020,"7,589","4,818","9,078","8,444"
Gurugram,Mar 2021,"7,557","4,810","8,796","8,511"
Gurugram,Jun 2021,"7,574","4,804","8,875","8,512"
Gurugram,Sep 2021,"7,650","4,800","8,894","8,660"
Gurugram,Dec 2021,"7,821","4,826","9,088","8,898"
Gurugram,Mar 2022,"7,919","4,861","9,237","9,010"
Gurugram,Jun 2022,"8,046","4,881","9,320","9,216"
Gurugram,Sep 2022,"8,481","4,951","9,913","9,780"
Gurugram,Dec 2022,"8,805","5,033","10,397","10,166"
Gurugram,Mar 2023,"9,272","5,170","11,023","10,741"
Gurugram,Jun 2023,"9,695","5,213","11,624","11,294"
Gurugram,Sep 2023,"9,985","5,640","11,972","11,483"
Gurugram,Dec 2023,"10,464","6,096","12,579","11,915"
Gurugram,Mar 2024,"11,223","6,862","13,467","12,613"
Gurugram,Jun 2024,"12,186","8,090","14,265","13,505"
Gurugram,Sep 2024,"13,075","8,990","14,845","14,527"
Gandhinagar,Jun-2013,"3,411","5,143","3,024","3,115"
Gandhinagar,Sep-2013,"3,382","5,110","3,014","3,016"
Gandhinagar,Dec-2013,"3,377","5,254","2,974","2,996"
Gandhinagar,Mar-2014,"3,393","5,180","2,999","3,070"
Gandhinagar,Jun-2014,"3,364","5,053","2,994","3,045"
Gandhinagar,Sep-2014,"3,229","4,401","2,970","3,017"
Gandhinagar,Dec-2014,"3,186","4,193","2,958","3,026"
Gandhinagar,Mar-2015,"3,084","3,714","2,940","2,988"
Gandhinagar,Jun-2015,"3,071","3,753","2,916","2,965"
Gandhinagar,Sep-2015,"3,162","4,122","2,938","3,033"
Gandhinagar,Dec-2015,"3,109","3,611","2,994","3,034"
Gandhinagar,Mar-2016,"3,160","3,896","2,999","3,024"
Gandhinagar,Jun-2016,"3,193","3,863","3,043","3,083"
Gandhinagar,Sep-2016,"3,191","3,849","3,054","3,040"
Gandhinagar,Dec-2016,"3,204","3,907","3,055","3,052"
Gandhinagar,Mar-2017,"3,182","3,778","3,060","3,037"
Gandhinagar,Jun-2017,"3,155","3,628","3,058","3,043"
Gandhinagar,Sep-2017,"3,144","3,483","3,077","3,054"
Gandhinagar,Dec-2017,"3,252","3,550","3,193","3,171"
Gandhinagar,Mar-2018,"3,340","3,767","3,246","3,262"
Gandhinagar,JUN-2018,"3,581","4,202","3,463","3,395"
Gandhinagar,SEP-2018,"3,739","4,413","3,623","3,491"
Gandhinagar,DEC 2018,"3,865","4,449","3,796","3,535"
Gandhinagar,Mar 2019,"3,914","4,474","3,859","3,554"
Gandhinagar,Jun 2019,"4,041","4,614","4,001","3,611"
Gandhinagar,Sep 2019,"4,259","4,736","4,316","3,559"
Gandhinagar,Dec 2019,"4,405","4,837","4,500","3,606"
Gandhinagar,Mar 2020,"4,600","4,903","4,762","3,676"
Gandhinagar,Jun 2020,"4,772","4,906","5,045","3,597"
Gandhinagar,Sep 2020,"4,922","4,820","5,185","4,024"
Gandhinagar,Dec 2020,"4,932","4,852","5,147","4,195"
Gandhinagar,Mar 2021,"5,046","4,928","5,278","4,286"
Gandhinagar,Jun 2021,"5,086","5,011","5,259","4,507"
Gandhinagar,Sep 2021,"5,215","5,104","5,422","4,543"
Gandhinagar,Dec 2021,"5,417","5,167","5,583","5,044"
Gandhinagar,Mar 2022,"5,688","5,258","5,804","5,690"
Gandhinagar,Jun 2022,"5,903","5,383","6,092","5,714"
Gandhinagar,Sep 2022,"6,267","5,562","6,390","6,517"
Gandhinagar,Dec 2022,"6,577","5,711","6,766","6,743"
Gandhinagar,Mar 2023,"6,799","5,905","6,931","7,206"
Gandhinagar,Jun 2023,"6,917","6,011","6,986","7,579"
Gandhinagar,Sep 2023,"7,081","6,235","7,098","7,876"
Gandhinagar,Dec 2023,"7,167","6,463","7,107","8,112"
Gandhinagar,Mar 2024,"7,442","6,673","7,359","8,536"
Gandhinagar,Jun 2024,"7,764","6,860","7,677","9,016"
Gandhinagar,Sep 2024,"7,833","6,997","7,693","9,217"
Ghaziabad,Jun-2013,"4,558","5,285","3,758","3,911"
Ghaziabad,Sep-2013,"4,690","5,474","3,832","3,975"
Ghaziabad,Dec-2013,"4,819","5,658","3,896","4,074"
Ghaziabad,Mar-2014,"5,036","5,846","4,162","4,267"
Ghaziabad,Jun-2014,"5,124","5,968","4,214","4,318"
Ghaziabad,Sep-2014,"5,187","6,060","4,245","4,359"
Ghaziabad,Dec-2014,"5,124","5,954","4,225","4,348"
Ghaziabad,Mar-2015,"5,033","5,763","4,214","4,442"
Ghaziabad,Jun-2015,"4,970","5,562","4,239","4,700"
Ghaziabad,Sep-2015,"4,884","5,340","4,252","4,890"
Ghaziabad,Dec-2015,"4,885","5,263","4,327","4,998"
Ghaziabad,Mar-2016,"4,846","5,182","4,351","4,948"
Ghaziabad,Jun-2016,"4,822","5,142","4,365","4,874"
Ghaziabad,Sep-2016,"4,770","5,000","4,421","4,864"
Ghaziabad,Dec-2016,"4,844","5,142","4,425","4,868"
Ghaziabad,Mar-2017,"4,914","5,204","4,490","4,990"
Ghaziabad,Jun-2017,"5,013","5,312","4,610","4,981"
Ghaziabad,Sep-2017,"5,022","5,356","4,564","5,007"
Ghaziabad,Dec-2017,"4,846","4,996","4,604","4,958"
Ghaziabad,Mar-2018,"4,711","4,806","4,536","4,854"
Ghaziabad,JUN-2018,"4,723","4,791","4,550","4,974"
Ghaziabad,SEP-2018,"4,803","4,937","4,567","4,961"
Ghaziabad,DEC 2018,"4,923","5,084","4,625","5,167"
Ghaziabad,Mar 2019,"5,078","5,309","4,697","5,271"
Ghaziabad,Jun 2019,"5,085","5,397","4,657","5,074"
Ghaziabad,Sep 2019,"5,050","5,238","4,788","5,059"
Ghaziabad,Dec 2019,"4,948","5,112","4,753","4,854"
Ghaziabad,Mar 2020,"4,906","5,068","4,699","4,855"
Ghaziabad,Jun 2020,"4,881","5,011","4,702","4,881"
Ghaziabad,Sep 2020,"4,859","5,057","4,590","4,843"
Ghaziabad,Dec 2020,"4,817","5,003","4,527","4,924"
Ghaziabad,Mar 2021,"4,869","5,021","4,613","5,011"
Ghaziabad,Jun 2021,"4,911","5,079","4,635","5,052"
Ghaziabad,Sep 2021,"4,982","5,176","4,678","5,098"
Ghaziabad,Dec 2021,"5,138","5,387","4,799","5,125"
Ghaziabad,Mar 2022,"5,262","5,524","4,913","5,215"
Ghaziabad,Jun 2022,"5,315","5,502","5,051","5,333"
Ghaziabad,Sep 2022,"5,414","5,515","5,229","5,559"
Ghaziabad,Dec 2022,"5,491","5,515","5,362","5,787"
Ghaziabad,Mar 2023,"5,568","5,488","5,539","6,009"
Ghaziabad,Jun 2023,"5,691","5,571","5,700","6,188"
Ghaziabad,Sep 2023,"5,837","5,607","5,933","6,542"
Ghaziabad,Dec 2023,"5,990","5,670","6,174","6,800"
Ghaziabad,Mar 2024,"6,165","5,768","6,372","7,240"
Ghaziabad,Jun 2024,"6,356","5,904","6,614","7,504"
Ghaziabad,Sep 2024,"6,579","6,057","6,882","7,898"
Greater Noida,Jun-2013,"3,755","4,179","3,650","3,661"
Greater Noida,Sep-2013,"3,825","4,243","3,715","3,753"
Greater Noida,Dec-2013,"3,963","4,300","3,868","3,922"
Greater Noida,Mar-2014,"4,011","4,178","3,959","4,003"
Greater Noida,Jun-2014,"4,104","4,203","4,068","4,116"
Greater Noida,Sep-2014,"4,191","4,221","4,172","4,214"
Greater Noida,Dec-2014,"4,286","4,277","4,297","4,267"
Greater Noida,Mar-2015,"4,391","4,443","4,376","4,385"
Greater Noida,Jun-2015,"4,415","4,415","4,419","4,405"
Greater Noida,Sep-2015,"4,436","4,421","4,473","4,347"
Greater Noida,Dec-2015,"4,426","4,383","4,467","4,351"
Greater Noida,Mar-2016,"4,433","4,331","4,498","4,347"
Greater Noida,Jun-2016,"4,465","4,407","4,514","4,384"
Greater Noida,Sep-2016,"4,503","4,401","4,544","4,481"
Greater Noida,Dec-2016,"4,508","4,492","4,516","4,503"
Greater Noida,Mar-2017,"4,527","4,595","4,505","4,527"
Greater Noida,Jun-2017,"4,479","4,483","4,473","4,492"
Greater Noida,Sep-2017,"4,511","4,653","4,470","4,495"
Greater Noida,Dec-2017,"4,546","4,609","4,544","4,493"
Greater Noida,Mar-2018,"4,556","4,576","4,556","4,537"
Greater Noida,JUN-2018,"4,634","4,572","4,650","4,643"
Greater Noida,SEP-2018,"4,680","4,602","4,721","4,636"
Greater Noida,DEC 2018,"4,691","4,658","4,714","4,658"
Greater Noida,Mar 2019,"4,714","4,669","4,770","4,603"
Greater Noida,Jun 2019,"4,834","4,969","4,860","4,637"
Greater Noida,Sep 2019,"4,909","5,027","4,940","4,718"
Greater Noida,Dec 2019,"4,916","4,960","4,961","4,752"
Greater Noida,Mar 2020,"4,926","5,044","4,938","4,785"
Greater Noida,Jun 2020,"4,873","4,914","4,893","4,781"
Greater Noida,Sep 2020,"4,871","4,882","4,885","4,823"
Greater Noida,Dec 2020,"5,027","5,090","5,021","4,988"
Greater Noida,Mar 2021,"5,086","5,043","5,107","5,070"
Greater Noida,Jun 2021,"5,110","5,054","5,117","5,138"
Greater Noida,Sep 2021,"5,142","5,103","5,139","5,186"
Greater Noida,Dec 2021,"5,157","4,986","5,205","5,181"
Greater Noida,Mar 2022,"5,299","5,040","5,383","5,304"
Greater Noida,Jun 2022,"5,460","5,058","5,635","5,342"
Greater Noida,Sep 2022,"5,675","5,071","5,956","5,446"
Greater Noida,Dec 2022,"5,898","5,177","6,204","5,708"
Greater Noida,Mar 2023,"6,186","5,411","6,467","6,113"
Greater Noida,Jun 2023,"6,421","5,688","6,667","6,408"
Greater Noida,Sep 2023,"6,734","5,982","6,945","6,834"
Greater Noida,Dec 2023,"6,944","6,262","7,130","7,049"
Greater Noida,Mar 2024,"7,293","6,462","7,500","7,477"
Greater Noida,Jun 2024,"7,719","6,779","7,890","8,097"
Greater Noida,Sep 2024,"8,127","6,789","8,327","8,788"
Noida,Jun-2013,"5,249","5,192","5,104","5,509"
Noida,Sep-2013,"5,325","5,336","5,188","5,514"
Noida,Dec-2013,"5,411","5,506","5,270","5,539"
Noida,Mar-2014,"5,483","5,530","5,392","5,575"
Noida,Jun-2014,"5,576","5,658","5,484","5,641"
Noida,Sep-2014,"5,661","5,804","5,550","5,703"
Noida,Dec-2014,"5,622","5,450","5,611","5,781"
Noida,Mar-2015,"5,601","5,248","5,657","5,812"
Noida,Jun-2015,"5,569","4,931","5,717","5,882"
Noida,Sep-2015,"5,542","4,600","5,777","5,982"
Noida,Dec-2015,"5,570","4,480","5,839","6,083"
Noida,Mar-2016,"5,570","4,362","5,864","6,144"
Noida,Jun-2016,"5,622","4,366","5,979","6,144"
Noida,Sep-2016,"5,706","4,405","6,112","6,195"
Noida,Dec-2016,"5,725","4,556","6,106","6,143"
Noida,Mar-2017,"5,755","4,653","6,111","6,152"
Noida,Jun-2017,"5,715","4,759","5,960","6,152"
Noida,Sep-2017,"5,650","4,863","5,816","6,061"
Noida,Dec-2017,"5,684","4,884","5,830","6,136"
Noida,Mar-2018,"5,599","4,837","5,711","6,067"
Noida,JUN-2018,"5,738","4,864","5,932","6,180"
Noida,SEP-2018,"5,972","5,034","6,121","6,534"
Noida,DEC 2018,"6,175","5,233","6,331","6,730"
Noida,Mar 2019,"6,366","5,424","6,494","6,961"
Noida,Jun 2019,"6,516","5,655","6,569","7,150"
Noida,Sep 2019,"6,626","5,729","6,685","7,283"
Noida,Dec 2019,"6,465","5,400","6,554","7,217"
Noida,Mar 2020,"6,236","5,097","6,340","7,029"
Noida,Jun 2020,"5,951","4,947","5,992","6,723"
Noida,Sep 2020,"5,867","5,006","5,816","6,654"
Noida,Dec 2020,"5,830","5,078","5,613","6,767"
Noida,Mar 2021,"6,007","5,414","5,715","6,920"
Noida,Jun 2021,"6,146","5,427","5,935","7,047"
Noida,Sep 2021,"6,008","5,204","5,892","6,840"
Noida,Dec 2021,"5,953","5,187","5,850","6,737"
Noida,Mar 2022,"5,981","5,134","5,928","6,759"
Noida,Jun 2022,"6,102","5,249","6,059","6,870"
Noida,Sep 2022,"6,293","5,361","6,281","7,084"
Noida,Dec 2022,"6,482","5,477","6,499","7,291"
Noida,Mar 2023,"6,634","5,561","6,602","7,570"
Noida,Jun 2023,"6,783","5,626","6,738","7,806"
Noida,Sep 2023,"6,984","5,780","6,837","8,193"
Noida,Dec 2023,"7,338","5,956","7,198","8,685"
Noida,Mar 2024,"7,672","6,090","7,513","9,212"
Noida,Jun 2024,"8,089","6,232","7,879","9,932"
Noida,Sep 2024,"8,511","6,322","8,318","10,603"
Delhi,Jun-2013,"10,223","8,303","12,499","13,423"
Delhi,Sep-2013,"10,762","8,814","12,911","14,410"
Delhi,Dec-2013,"10,973","9,077","12,856","15,039"
Delhi,Mar-2014,"10,840","8,855","12,745","15,261"
Delhi,Jun-2014,"10,659","8,693","12,492","15,175"
Delhi,Sep-2014,"10,637","8,793","12,610","14,238"
Delhi,Dec-2014,"9,931","7,733","12,458","13,791"
Delhi,Mar-2015,"9,106","6,551","12,187","13,233"
Delhi,Jun-2015,"8,684","6,004","11,981","12,849"
Delhi,Sep-2015,"8,434","5,843","11,462","12,859"
Delhi,Dec-2015,"8,501","6,201","11,209","12,382"
Delhi,Mar-2016,"8,893","6,932","11,158","12,308"
Delhi,Jun-2016,"9,505","7,747","11,507","12,638"
Delhi,Sep-2016,"9,732","7,880","11,738","13,289"
Delhi,Dec-2016,"10,151","8,045","12,258","14,625"
Delhi,Mar-2017,"10,399","8,116","12,670","15,287"
Delhi,Jun-2017,"10,386","7,778","13,126","15,605"
Delhi,Sep-2017,"10,061","7,492","12,637","15,506"
Delhi,Dec-2017,"9,962","7,323","12,620","15,534"
Delhi,Mar-2018,"9,915","7,217","12,717","15,396"
Delhi,JUN-2018,"9,817","7,200","12,495","15,233"
Delhi,SEP-2018,"9,822","7,269","12,575","14,756"
Delhi,DEC 2018,"9,778","7,336","12,511","14,245"
Delhi,Mar 2019,"9,699","7,364","12,288","14,036"
Delhi,Jun 2019,"9,554","7,375","12,023","13,467"
Delhi,Sep 2019,"9,517","7,303","12,016","13,520"
Delhi,Dec 2019,"9,176","6,996","11,549","13,337"
Delhi,Mar 2020,"9,070","6,853","11,316","13,716"
Delhi,Jun 2020,"9,102","6,728","11,384","14,379"
Delhi,Sep 2020,"9,138","6,600","11,392","15,247"
Delhi,Dec 2020,"9,056","6,541","11,047","15,716"
Delhi,Mar 2021,"9,429","6,571","11,873","16,542"
Delhi,Jun 2021,"9,205","6,579","11,730","15,045"
Delhi,Sep 2021,"9,346","6,661","12,019","15,089"
Delhi,Dec 2021,"9,748","6,821","12,809","15,643"
Delhi,Mar 2022,"9,741","6,899","12,769","15,327"
Delhi,Jun 2022,"9,971","6,902","13,024","16,548"
Delhi,Sep 2022,"9,965","6,935","12,955","16,515"
Delhi,Dec 2022,"9,918","6,992","12,756","16,367"
Delhi,Mar 2023,"9,906","7,034","12,521","16,659"
Delhi,Jun 2023,"10,018","7,134","12,559","17,011"
Delhi,Sep 2023,"10,146","7,192","12,748","17,305"
Delhi,Dec 2023,"10,194","7,305","12,598","17,553"
Delhi,Mar 2024,"10,075","7,405","12,172","17,186"
Delhi,Jun 2024,"10,171","7,571","12,253","16,996"
Delhi,Sep 2024,"10,187","7,732","11,952","17,135"
Kalyan Dombivali,Jun-2013,"5,465","5,457","5,520","4,781"
Kalyan Dombivali,Sep-2013,"5,701","5,714","5,690","5,329"
Kalyan Dombivali,Dec-2013,"5,902","5,913","5,887","5,602"
Kalyan Dombivali,Mar-2014,"6,105","6,120","6,051","6,398"
Kalyan Dombivali,Jun-2014,"6,248","6,262","6,167","7,101"
Kalyan Dombivali,Sep-2014,"6,335","6,332","6,299","7,117"
Kalyan Dombivali,Dec-2014,"6,449","6,407","6,512","7,296"
Kalyan Dombivali,Mar-2015,"6,573","6,467","6,789","7,701"
Kalyan Dombivali,Jun-2015,"6,632","6,507","6,921","7,359"
Kalyan Dombivali,Sep-2015,"6,770","6,645","7,064","7,395"
Kalyan Dombivali,Dec-2015,"7,030","6,968","7,171","7,438"
Kalyan Dombivali,Mar-2016,"7,215","7,191","7,256","7,604"
Kalyan Dombivali,Jun-2016,"7,442","7,443","7,401","8,136"
Kalyan Dombivali,Sep-2016,"7,656","7,652","7,625","8,428"
Kalyan Dombivali,Dec-2016,"7,718","7,651","7,839","8,777"
Kalyan Dombivali,Mar-2017,"7,849","7,829","7,858","8,639"
Kalyan Dombivali,Jun-2017,"7,857","7,825","7,910","8,408"
Kalyan Dombivali,Sep-2017,"7,766","7,720","7,853","8,412"
Kalyan Dombivali,Dec-2017,"7,818","7,752","7,963","8,325"
Kalyan Dombivali,Mar-2018,"7,872","7,779","8,086","8,405"
Kalyan Dombivali,JUN-2018,"7,996","7,905","8,206","8,485"
Kalyan Dombivali,SEP-2018,"8,272","8,236","8,341","8,765"
Kalyan Dombivali,DEC 2018,"8,470","8,474","8,442","8,814"
Kalyan Dombivali,Mar 2019,"8,582","8,623","8,466","8,767"
Kalyan Dombivali,Jun 2019,"8,629","8,680","8,488","8,813"
Kalyan Dombivali,Sep 2019,"8,705","8,726","8,656","8,622"
Kalyan Dombivali,Dec 2019,"8,689","8,660","8,768","8,608"
Kalyan Dombivali,Mar 2020,"8,717","8,648","8,888","8,901"
Kalyan Dombivali,Jun 2020,"8,753","8,678","8,952","8,680"
Kalyan Dombivali,Sep 2020,"8,738","8,702","8,833","8,733"
Kalyan Dombivali,Dec 2020,"8,869","8,956","8,646","8,764"
Kalyan Dombivali,Mar 2021,"8,904","9,056","8,510","8,812"
Kalyan Dombivali,Jun 2021,"8,989","9,140","8,587","9,124"
Kalyan Dombivali,Sep 2021,"8,881","8,997","8,560","9,249"
Kalyan Dombivali,Dec 2021,"8,778","8,855","8,552","9,276"
Kalyan Dombivali,Mar 2022,"8,871","8,918","8,727","9,317"
Kalyan Dombivali,Jun 2022,"8,833","8,853","8,761","9,193"
Kalyan Dombivali,Sep 2022,"8,919","8,936","8,870","9,006"
Kalyan Dombivali,Dec 2022,"9,095","9,131","9,006","9,029"
Kalyan Dombivali,Mar 2023,"9,150","9,177","9,077","9,202"
Kalyan Dombivali,Jun 2023,"9,245","9,299","9,106","9,220"
Kalyan Dombivali,Sep 2023,"9,449","9,529","9,234","9,562"
Kalyan Dombivali,Dec 2023,"9,588","9,671","9,370","9,640"
Kalyan Dombivali,Mar 2024,"9,810","9,945","9,457","9,799"
Kalyan Dombivali,Jun 2024,"9,956","10,097","9,591","9,910"
Kalyan Dombivali,Sep 2024,"10,042","10,171","9,707","9,988"
Mira Bhayander,Jun-2013,"7,882","7,914","7,679","8,603"
Mira Bhayander,Sep-2013,"8,221","8,263","7,981","8,603"
Mira Bhayander,Dec-2013,"8,123","8,124","8,087","8,825"
Mira Bhayander,Mar-2014,"8,249","8,229","8,314","9,060"
Mira Bhayander,Jun-2014,"8,320","8,254","8,617","9,420"
Mira Bhayander,Sep-2014,"8,446","8,370","8,816","8,956"
Mira Bhayander,Dec-2014,"8,753","8,665","9,057","12,259"
Mira Bhayander,Mar-2015,"8,896","8,834","9,134","10,774"
Mira Bhayander,Jun-2015,"9,103","9,057","9,284","10,390"
Mira Bhayander,Sep-2015,"9,197","9,148","9,388","10,684"
Mira Bhayander,Dec-2015,"9,335","9,337","9,338","8,963"
Mira Bhayander,Mar-2016,"9,594","9,603","9,529","9,926"
Mira Bhayander,Jun-2016,"9,710","9,739","9,518","10,721"
Mira Bhayander,Sep-2016,"9,803","9,810","9,715","10,985"
Mira Bhayander,Dec-2016,"9,864","9,867","9,772","11,505"
Mira Bhayander,Mar-2017,"9,885","9,902","9,743","11,120"
Mira Bhayander,Jun-2017,"9,999","10,027","9,823","10,560"
Mira Bhayander,Sep-2017,"10,008","10,026","9,861","11,108"
Mira Bhayander,Dec-2017,"10,059","10,062","10,022","10,524"
Mira Bhayander,Mar-2018,"10,135","10,121","10,176","10,855"
Mira Bhayander,JUN-2018,"10,300","10,286","10,336","11,123"
Mira Bhayander,SEP-2018,"10,531","10,541","10,453","11,162"
Mira Bhayander,DEC 2018,"10,767","10,798","10,585","11,125"
Mira Bhayander,Mar 2019,"10,894","10,929","10,719","10,720"
Mira Bhayander,Jun 2019,"10,924","10,949","10,847","9,699"
Mira Bhayander,Sep 2019,"11,137","11,177","11,007","9,368"
Mira Bhayander,Dec 2019,"11,091","11,070","11,259","9,728"
Mira Bhayander,Mar 2020,"11,254","11,212","11,510","10,392"
Mira Bhayander,Jun 2020,"11,380","11,323","11,659","11,695"
Mira Bhayander,Sep 2020,"11,288","11,202","11,726","11,477"
Mira Bhayander,Dec 2020,"11,668","11,742","11,295","11,448"
Mira Bhayander,Mar 2021,"11,667","11,752","11,245","11,142"
Mira Bhayander,Jun 2021,"11,821","11,926","11,289","11,588"
Mira Bhayander,Sep 2021,"11,779","11,866","11,323","11,862"
Mira Bhayander,Dec 2021,"11,694","11,713","11,603","11,610"
Mira Bhayander,Mar 2022,"11,820","11,790","11,977","11,763"
Mira Bhayander,Jun 2022,"11,814","11,731","12,266","11,340"
Mira Bhayander,Sep 2022,"11,955","11,836","12,593","11,580"
Mira Bhayander,Dec 2022,"12,167","12,002","13,034","12,122"
Mira Bhayander,Mar 2023,"12,235","12,076","13,068","12,124"
Mira Bhayander,Jun 2023,"12,321","12,166","13,147","11,952"
Mira Bhayander,Sep 2023,"12,555","12,429","13,211","12,570"
Mira Bhayander,Dec 2023,"12,744","12,645","13,282","12,289"
Mira Bhayander,Mar 2024,"13,156","13,063","13,661","12,728"
Mira Bhayander,Jun 2024,"13,486","13,403","13,930","13,264"
Mira Bhayander,Sep 2024,"13,753","13,688","14,171","11,985"
Navi Mumbai,Jun-2013,"10,350","10,097","10,227","15,708"
Navi Mumbai,Sep-2013,"10,769","10,552","10,537","15,981"
Navi Mumbai,Dec-2013,"11,072","10,853","10,710","16,960"
Navi Mumbai,Mar-2014,"11,510","11,281","11,131","17,691"
Navi Mumbai,Jun-2014,"11,774","11,508","11,405","18,584"
Navi Mumbai,Sep-2014,"12,014","11,684","11,822","19,155"
Navi Mumbai,Dec-2014,"12,220","11,890","12,068","19,187"
Navi Mumbai,Mar-2015,"12,363","12,030","12,371","18,611"
Navi Mumbai,Jun-2015,"12,553","12,244","12,548","18,399"
Navi Mumbai,Sep-2015,"12,714","12,304","12,924","19,405"
Navi Mumbai,Dec-2015,"12,947","12,425","13,489","20,144"
Navi Mumbai,Mar-2016,"13,201","12,687","13,710","20,392"
Navi Mumbai,Jun-2016,"13,412","12,866","14,092","20,384"
Navi Mumbai,Sep-2016,"13,507","13,089","13,950","19,217"
Navi Mumbai,Dec-2016,"13,362","13,049","13,763","17,293"
Navi Mumbai,Mar-2017,"13,188","12,856","13,650","17,188"
Navi Mumbai,Jun-2017,"12,878","12,415","13,854","16,852"
Navi Mumbai,Sep-2017,"12,837","12,305","14,245","15,997"
Navi Mumbai,Dec-2017,"12,696","12,185","13,878","16,560"
Navi Mumbai,Mar-2018,"12,920","12,421","14,102","16,579"
Navi Mumbai,JUN-2018,"13,102","12,661","14,092","16,587"
Navi Mumbai,SEP-2018,"13,389","12,904","14,416","17,527"
Navi Mumbai,DEC 2018,"13,857","13,313","15,214","17,489"
Navi Mumbai,Mar 2019,"13,874","13,283","15,360","17,760"
Navi Mumbai,Jun 2019,"13,799","13,056","15,805","18,012"
Navi Mumbai,Sep 2019,"13,762","12,961","16,018","17,871"
Navi Mumbai,Dec 2019,"13,102","12,059","16,286","17,237"
Navi Mumbai,Mar 2020,"12,954","11,632","16,931","18,474"
Navi Mumbai,Jun 2020,"12,929","11,495","17,297","18,654"
